name	jga	right	wrong	slot_acc	slot_f1
smapling_exp_topk_bm_5_fs_5_0523_0315	0.691085003455425	1000	447	0.7049988481916599	0.6646299720810992
smapling_exp_topk_bm	0.6164478230822391	892	555	0.9787376180603581	0.9271290200207328
mixed_retriever_fs_bm_topk_z_off_2	0.5977885279889427	865	582	0.9783920755586283	0.9238344094672941
mixed_retriever_fs_bm_topk_z_off	0.5936420179682101	859	588	0.9778852798894276	0.9230002564835075
mixed_retriever_fs_bm_topk	0.5888044229440221	852	595	0.9782077862243742	0.9238272727363991
mixed_retriever_fs_bm_sum_topk	0.5763648928818245	834	613	0.9759502418797535	0.9165501740174056
fine_tuned_sbert_topk	0.5742916378714582	831	616	0.976134531214009	0.9181988158587996
mixed_retriever_fs_bm_topk_2	0.5742916378714582	831	616	0.9766643630499904	0.9197471950396143
fine_tuned_sbert	0.5736005528680027	830	617	0.975005759041698	0.9164754790925334
mixed_retriever_fs_bm	0.5583966827919834	808	639	0.9730476848652405	0.9094545136945626
bm25_10_all_sim	0.5521769177608846	799	648	0.9732319741994956	0.9119884250734107
smapling_exp_topk_bm_5_fs_5	0.5431928127159641	786	661	0.9735084082008798	0.9139929250844945
mixed_retriever_fs_bm_sample_topk	0.5383552176917761	779	668	0.9744298548721527	0.914744844214117
bm25_16_all_sim_div_2	0.5245335176226675	759	688	0.9723796360285667	0.9112056164712184
mixed_retriever_fs_bm_2	0.5238424326192122	758	689	0.9716655148583319	0.9082596672507532
mixed_retriever_fs_bm_sum	0.5217691776088459	755	692	0.9727942870306416	0.9116789755600456
bm25_10_all_sim_div	0.5210780926053905	754	693	0.9699378023496917	0.9048016196018094
bm25_16_all_sim_div	0.5196959225984796	752	695	0.9719419488597119	0.9099512087306927
bm25_10_all_sim_div_2	0.5176226675881134	749	698	0.9703294171849829	0.9047022672908779
bm25_10_ret_sim_div	0.5079474775397373	735	712	0.9694540428472724	0.9013583822034993
pretrained_sbert_topk	0.48859709744298546	707	740	0.9684865238424357	0.902182655470184
pretrained_sbert	0.4671734623358673	676	771	0.9671504261690875	0.8965003846268518
zero_shot_greedy	0.29163787145818937	422	1025	0.9347615756738104	0.7746597330871354
